DistrictCode,Name,Country,GDP,Area,Latitude,Longitude,Population,Aged 0 to 17,Aged 18 to 24,Aged 25 to 49,Aged 50 to 64,Aged 65+
E06000001,Hartlepool,England,1724,93.89971424302594,54.66937792,-1.259157615,98180,21090,7572,29857,20013,19648
E06000002,Middlesbrough,England,3482,53.861835396514394,54.54200282,-1.222315595,156161,35617,14142,54524,25897,25981
E06000003,Redcar and Cleveland,England,2236,244.9158966979638,54.55160663451148,-1.020662403,139228,27499,9354,38907,29984,33484
E06000004,Stockton-on-Tees,England,5710,203.91992170625718,54.56181173307126,-1.332239467,206800,45079,13794,67206,40414,40307
E06000005,Darlington,England,2946,197.47439156458472,54.548703431012434,-1.55263529,112489,22771,7358,35671,22892,23797
E06000006,Halton,England,4692,79.10849457482422,53.34512286,-2.712194409,131543,27739,9696,42511,26218,25379
E06000007,Warrington,England,8679,180.67561766384026,53.39910193691178,-2.562765122,215391,44799,13641,69186,45080,42685
E06000008,Blackburn with Darwen,England,3575,137.0572406067676,53.69263916376758,-2.467581771,162540,41804,14643,54516,28402,23175
E06000009,Blackpool,England,3221,34.88096956964547,53.81787587,-3.029247484,144191,28923,10330,44092,30861,29985
E06000010,"Kingston upon Hull, City of",England,7066,71.45574083757985,53.76411795344113,-0.334958009,275401,62379,24558,97037,48728,42699
E06000011,East Riding of Yorkshire,England,8417,2406.556689363918,53.874537725139774,-0.492181202,355884,63023,20058,96588,79811,96404
E06000012,North East Lincolnshire,England,3800,191.91461158733154,53.54258671061416,-0.138472795,159911,33522,10621,47958,33220,34590
E06000013,North Lincolnshire,England,5096,846.3269345701186,53.59080536245005,-0.593756549,171336,34675,10910,49691,36794,39266
E06000014,York,England,7026,271.94502559317004,53.95876672,-1.061449187,209301,34758,33101,64178,37046,40218
E06000015,Derby,England,8333,78.02229167422492,52.912540474598316,-1.468346436,274149,62113,25393,94379,47747,44517
E06000016,Leicester,England,10063,73.38038758648607,52.63792606829203,-1.128481465,388348,90763,54443,137873,58646,46623
E06000017,Rutland,England,897,393.7464680854156,52.66075366153217,-0.654633116,41443,8012,2736,11048,8698,10949
E06000018,Nottingham,England,11655,74.60485682,52.96060256145318,-1.176517757,331077,68714,68214,106580,48407,39162
E06000019,"Herefordshire, County of",England,4684,2179.678914337974,52.10367359928362,-2.745111407,191047,34439,11017,52095,41980,51516
E06000020,Telford and Wrekin,England,5224,290.3207510032821,52.730206530248616,-2.488779584,195952,44248,15225,63180,38305,34994
E06000021,Stoke-on-Trent,England,6868,93.41685573489657,53.018047923103076,-2.164539223,270425,62520,23690,90482,47703,46030
E06000022,Bath and North East Somerset,England,5108,351.1634113604521,51.35597157413646,-2.475208607,200028,36601,30812,56690,36841,39084
E06000023,"Bristol, City of",England,16930,109.63250772347449,51.466794508949455,-2.600421184,494399,92705,73982,194570,70856,62286
E06000024,North Somerset,England,5363,374.6769081872065,51.38980961483442,-2.794136539,224578,44360,13874,66672,45722,53950
E06000025,South Gloucestershire,England,13384,496.9466244,51.54191012981427,-2.457493376,306332,62794,26855,102868,56713,57102
E06000026,Plymouth,England,6614,79.81778581843103,50.39201736013102,-4.118261328,272067,52113,30424,88382,49809,51339
E06000027,Torbay,England,2408,62.933906195481605,50.441746850533235,-3.554189031,140126,24811,8155,38152,30774,38234
E06000028,Bournemouth,England,-,46.203183082081544,50.74228355488603,-1.859597008,-,-,-,-,-,-
E06000029,Poole,England,-,64.73894123985224,50.74506347897031,-1.96274025,-,-,-,-,-,-
