district_code,district_name,district_type,country,area_km2,centroid_lat,centroid_lon
E06000001,Hartlepool,LAD,England,93.89971424302594,54.6693779189994,-1.2591576148676131
E06000002,Middlesbrough,LAD,England,53.861835396514394,54.5420028229958,-1.2223155950838724
E06000003,Redcar and Cleveland,LAD,England,244.9158966979638,54.55160663451148,-1.0206624032135865
E06000004,Stockton-on-Tees,LAD,England,203.91992170625718,54.56181173307126,-1.3322394668389153
E06000005,Darlington,LAD,England,197.47439156458472,54.548703431012434,-1.552635290027781
E06000006,Halton,LAD,England,79.10849457482422,53.3451228617363,-2.7121944087095073
E06000007,Warrington,LAD,England,180.67561766384026,53.39910193691178,-2.5627651224071273
E06000008,Blackburn with Darwen,LAD,England,137.0572406067676,53.69263916376758,-2.4675817706144407
E06000009,Blackpool,LAD,England,34.88096956964547,53.8178758677085,-3.029247483567183
E06000010,"Kingston upon Hull, City of",LAD,England,71.45574083757985,53.76411795344113,-0.33495800919828395
E06000011,East Riding of Yorkshire,LAD,England,2406.556689363918,53.874537725139774,-0.492181201714552
E06000012,North East Lincolnshire,LAD,England,191.91461158733154,53.54258671061416,-0.13847279463192402
E06000013,North Lincolnshire,LAD,England,846.3269345701186,53.59080536245005,-0.5937565488528022
E06000014,York,LAD,England,271.94502559317004,53.9587667215327,-1.061449187433155
E06000015,Derby,LAD,England,78.02229167422492,52.912540474598316,-1.4683464357436096
E06000016,Leicester,LAD,England,73.38038758648607,52.63792606829203,-1.1284814651264825
E06000017,Rutland,LAD,England,393.7464680854156,52.66075366153217,-0.6546331162258934
E06000018,Nottingham,LAD,England,74.6048568150214,52.96060256145318,-1.1765177567563092
E06000019,"Herefordshire, County of",LAD,England,2179.678914337974,52.10367359928362,-2.7451114072814553
E06000020,Telford and Wrekin,LAD,England,290.3207510032821,52.730206530248616,-2.4887795839076206
E06000021,Stoke-on-Trent,LAD,England,93.41685573489657,53.018047923103076,-2.164539223008734
E06000022,Bath and North East Somerset,LAD,England,351.1634113604521,51.35597157413646,-2.475208607415362
E06000023,"Bristol, City of",LAD,England,109.63250772347449,51.466794508949455,-2.6004211844797447
E06000024,North Somerset,LAD,England,374.6769081872065,51.38980961483442,-2.794136538882603
E06000025,South Gloucestershire,LAD,England,496.946624374794,51.54191012981427,-2.457493375996108
E06000026,Plymouth,LAD,England,79.81778581843103,50.39201736013102,-4.1182613279578515
E06000027,Torbay,LAD,England,62.933906195481605,50.441746850533235,-3.5541890311521085
E06000028,Bournemouth,LAD,England,46.203183082081544,50.74228355488603,-1.8595970078103747
E06000029,Poole,LAD,England,64.73894123985224,50.74506347897031,-1.9627402497363078
E06000030,Swindon,LAD,England,230.09510768629968,51.57155021201128,-1.7437991942419933
E06000031,Peterborough,LAD,England,343.4219615284155,52.608525182674455,-0.25312102675251363
E06000032,Luton,LAD,England,43.35902522634753,51.894220922327044,-0.4256176027797796
E06000033,Southend-on-Sea,LAD,England,41.75191125742384,51.54773054607868,0.7093281477073689
E06000034,Thurrock,LAD,England,163.43919154046367,51.50909988633242,0.3676056350725869
E06000035,Medway,LAD,England,193.47848090499323,51.4151501905208,0.5538465633976277
E06000036,Bracknell Forest,LAD,England,109.34445619378982,51.408130769810214,-0.7397626855124595
E06000037,West Berkshire,LAD,England,704.1508314322234,51.44958964773157,-1.3044930122245681
E06000038,Reading,LAD,England,40.38405413879826,51.452991125833876,-0.9838522428896298
E06000039,Slough,LAD,England,32.53413993306284,51.50839202325718,-0.5862493714971244
E06000040,Windsor and Maidenhead,LAD,England,198.43301360419215,51.48566959928618,-0.699544000398367
E06000041,Wokingham,LAD,England,178.97596182896066,51.4294358112667,-0.8838307186726612
E06000042,Milton Keynes,LAD,England,308.6365415780375,52.08384959138956,-0.7335133332795278
E06000043,Brighton and Hove,LAD,England,82.68842976820714,50.84466255079249,-0.13413606803036526
E06000044,Portsmouth,LAD,England,40.3922178179727,50.82071226310833,-1.070075014647664
E06000045,Southampton,LAD,England,49.88874222227602,50.91991564062635,-1.3991522111688492
E06000046,Isle of Wight,LAD,England,380.2139159749406,50.67466755740783,-1.2979472276873074
E06000047,County Durham,LAD,England,2231.5818187993036,54.695390926398076,-1.8397841919023878
E06000049,Cheshire East,LAD,England,1166.34928965579,53.18041091768821,-2.3493558582332783
E06000050,Cheshire West and Chester,LAD,England,916.6605444105782,53.19748870996269,-2.7314372480998785
E06000051,Shropshire,LAD,England,3197.318292526024,52.63540469646267,-2.7341398762865405
E06000052,Cornwall,LAD,England,3549.761998046176,50.40668097296554,-4.825004874003495
E06000053,Isles of Scilly,LAD,England,16.428869663776954,49.93536152217419,-6.3145839121736485
E06000054,Wiltshire,LAD,England,3255.35805698382,51.29763479471406,-1.9446870629835922
E06000055,Bedford,LAD,England,476.38137921782226,52.18921683585811,-0.477096966014057
E06000056,Central Bedfordshire,LAD,England,715.5826531145846,52.006699316712364,-0.436007176617505
E06000057,Northumberland,LAD,England,5026.208651944822,55.23908427480949,-2.068522722863208
